date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160325	399088	409774	H	   2	East Carolina	Kasey Countee       	College of Charleston	Charlie Ghriskey    	6-4, 6-1
20160325	415640	459246	H	   2	George Mason	Joe Hill            	Longwood	Florian Uffer       	6-3, 6-3
20160325	466089	424540	H	   2	George Washington	Danil Zelenkov      	Georgetown	Marco Lam           	6-3, 6-4
20160325	462629	432448	H	   2	N.C. State	Thomas Weigel       	Boston College	Jeffrey Melvin      	6-0, 6-1
20160325	449737	419372	H	   2	North Carolina	Ronnie Schneider    	Clemson	Luke Johnson        	6-1, 6-3
20160325	385376	399148	H	   2	Virginia	Collin Altamirano   	Notre Dame	Eddy Covalschi      	6-4, 6-2
20160325	390570	430591	A	   2	Virginia Tech	Andreas Bjerrehus   	Duke	Catalin Mateas      	7-5, 6-3
20160325	397220	385989	A	   2	Wake Forest	Petros Chrysochos   	Miami (FL)	Max Andrews         	6-2, 6-4
20160325	429531	385071	H	   2	Lipscomb	Alejandro Manzanares	Florida Gulf Coast	Andres Alfonzo      	3-6,6-4,6-3
20160325	433448	466490	H	   2	North Alabama	Brendon Millington-Herrmann	Shorter	Talha Zubair        	3-6, 6-2, 10-6
20160325	449723	387289	H	   2	Xavier	Jeremy Schneider    	Valparaiso	Dave Bacalla        	6-3, 6-4
20160325	466106	427680	H	   2	Sacramento State	Kasparas Zemaitelis 	Portland State	Ethan Lopez         	6-4, 6-2
20160325	443580	450080	H	   2	Winthrop	Diego Quiroz        	Campbell	Lorenz Schwab       	7-5 6-0
20160325	461375	429414	A	   2	Illinois	Aleks Vukic         	Indiana	Raheel Manji        	6-4, 6-3
20160325	451938	422881	A	   2	Iowa	Josh Silverstein    	Wisconsin	Alexander Kokorev   	7-6 (7-3), 6-1
20160325	462502	415121	H	   2	Minnesota	Ruben Weber         	Nebraska	Marc Hermann        	6-2, 6-3
20160325	451584	459250	A	   2	Northwestern	Sam Shropshire      	Purdue	Benjamin Ugarte     	6-3, 6-1
20160325	400994	422565	A	   2	Penn State	Constant De La Bassetiere	Michigan	Alex Knight         	6-7 (0), 6-3, 6-2
20160325	465774	422890	H	   2	UC Riverside	Sean Yun            	Hawaii	Igor Kolaric        	6-0, 4-6, 6-3
20160325	461394	401169	H	   2	Hofstra	Niko Vulinovich     	Sacred Heart	Matthew Dean        	6-3,, 6-0
20160325	459762	452140	H	   2	UNC Wilmington	Christiaan Van Der Burgh	Drexel	Andrew Sinai        	6-2,6-3
20160325	428896	423589	A	   2	Northern Kentucky	Jody Maginley       	Youngstown State	Matthew Kritzinger  	6-2,7-5
20160325	435895	477982	H	   2	Niagara	Francis Nadeau      	Rider	Chris Popso         	6-2, 6-2
20160325	417419	455486	A	   2	Binghamton	Eliott Hureau       	Ball State	Andrew Stutz        	1-6,6-3,6-3
20160325	413229	413197	H	   2	Western Michigan	Matt Hamilton       	Northern Illinois	Louis-Philippe Hamel	6-4, 2-6, 10-7
20160325	477436	403597	H	   2	Norfolk State	Antonio Pajic       	Coppin State	Christian Duchnak   	6-2, 6-0
20160325	431729	385637	H	   2	Fresno State	Euan McIntosh       	Holy Names	Andrew Amor         	6-3, 7-5
20160325	393644	432567	H	   2	Fresno State	Mantas Bugailiskis  	Sonoma State	Blaine Mengert      	6-1, 6-2
20160325	405227	433537	N	   2	New Mexico	Jorge Escutia       	Montana	Peter Mimnagh-Fleming	6-2, 6-4
20160325	399271	405227	H	   2	UNLV	Alexandr Cozbinov   	New Mexico	Jorge Escutia       	6-3,6-4
20160325	407319	454404	A	   2	St. Francis (PA)	Dylan Foo-Kune      	Duquesne	Dimitris Stavropoulos	6-3, 6-2
20160325	401115	453513	A	   2	USC	Max De Vroome       	Washington	Enzo Sommer         	3-6,6-3,7-6
20160325	463577	418662	A	   2	Stanford	David Wilczynski    	Arizona	Jason Jaruvang      	6-2, 6-3
20160325	444525	425185	A	   2	UCLA	Martin Redlicki     	Oregon	Thomas Laurent      	6-3, 6-4
20160325	432938	389770	H	   2	Utah	David Micevski      	California	Filip Bergevi       	7-6 (7-5), 6-4
20160325	427951	415772	H	   2	Alabama	Korey Lovett        	Auburn	Maxime Hinnisdaels  	3-6, 6-1, 6-4
20160325	438645	384523	A	   2	Florida	Elliott Orkin       	Mississippi State	Rishab Agarwal      	6-4, 3-6, 6-3
20160325	430702	449339	H	   2	Kentucky	Ryotaro Matsumura   	South Carolina	Andrew Schafer      	7-5, 6-1
20160325	459639	434305	A	   2	Tennessee	Luis Valero         	Georgia	Wayne Montgomery    	1-6, 6-4, 1-0(10-3)
20160325	460920	419433	A	   2	Texas A&M	Shane Vinsant       	Vanderbilt	Rhys Johnson        	7-5, 6-3
20160325	449099	404850	H	   2	Chattanooga	Luke Saunders       	Metropolitan State	Porter Emery        	6-0, 6-2
20160325	445214	457550	H	   2	ETSU	Rogerio Ribeiro     	Wofford	Parks Thompson      	6-0, 6-2
